"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"IL1",0.000157165118046195,0.000160197135783692,0.000153112439399579,0.999809007428445,0.937035231972867,0.000172270057341147,1,0.000196483245282939,0.000167493378061346,0.0678563460291854,0.117177198482888,0.000342979194737718,0.0160032091072398
"TNF",1,NA,NA,NA,0.967992854619824,NA,NA,NA,NA,NA,NA,NA,NA
"IL10",0.399874235452479,0.416810263864087,0.385279629458722,0.985988399468045,0.931331426885115,1,0.878936079816077,0.33227771854972,0.392819844830325,0.0200434572502415,0.840367667708494,0.920897532286763,0.0198046731743731
"CEACAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD40",0.00858915365336685,0.879744566369084,0.00565742398244035,0.0259723376966723,0.32942914808667,0.0129886653078097,0.0344317278794368,0.403568505017271,0.00935226073246838,0.0235283941903026,1,0.00966195030755835,0.00374422532463635
"PECAM2",NA,NA,NA,1,0.316118337232376,NA,0.27703824139046,0.247453027592583,NA,0.340915766282557,0.30859006594159,0.343002636771284,NA
"PLAU",0.000996738632413086,0.00102132770643815,0.000802850069510293,1,0.876040995188606,0.000978522718221058,0.868745018309413,0.000627430489231775,0.00101430065213007,0.662448545674893,0.580560932719404,0.220823633264232,0.266537733458266
"CSF",0.00645852893453246,0.00688133998592695,0.00450839694461571,0.30304914332204,1,0.00903432203684513,0.737334815098734,0.00171254735052878,0.00688020886031823,0.00727024852211742,0.00193576173946286,0.00278262748054049,0.00626550226723507
"CDH1",0.96560714644658,0.0171482330547221,0.0134270873789339,0.0191385914503453,0.0212537458028742,0.0130695645102644,0.0178601594155744,0.0126996057731762,1,0.153378987241015,0.0259186545961199,0.0252259671924638,0.0173629146937718
"PARs",0.996255400798727,0.268583309753699,0.989378219350418,0.0685389175070906,0.224328290452568,0.00744838317767818,0.0636582416102648,0.0076984082486585,1,0.205336335427942,0.0554660158939664,0.263339567215806,0.0275789840048348
"CD96",0.974862536405025,0.948128360650028,0.927234948384574,NA,NA,0.765088290458292,NA,NA,1,NA,NA,NA,0.348230389373204
"GDF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLT3",NA,0.644089708086289,NA,NA,0.272246718825921,0.549099086166615,0.757110233729728,NA,0.567493140565201,NA,1,0.257421997115861,0.0660239270931322
"GRN",NA,NA,NA,1,0.911109738427575,NA,0.935239665622708,0.20802169702005,NA,0.178978959622127,0.89390653228011,0.954944854205643,NA
"IL6",NA,0.36464701025215,NA,0.333882559010816,0.856492455154134,1,0.805395459136273,0.307614859307721,NA,0.98122638852044,0.755504521777818,0.35830655434873,0.340420522871088
"SIRP",0.0551846086236514,0.035707335043815,0.0472220161655951,0.1269163162963,0.126710064985266,1,0.115214709789127,0.0267546159314831,0.0499463434081019,0.0929659960235655,0.0562534097624275,0.049778068141055,NA
"COMPLEMENT",0.00336239460496132,0.00338595649283278,0.00327367782167919,1,0.844877191165267,0.00299955579890064,0.00916824956658095,0.00294283595861212,0.00363780815971402,0.0225089041569549,0.00818335509392195,0.0299992232784802,0.229321205947721
"GAS",0.0012491123067288,0.00127873723355191,0.00122660119294618,0.00143970627183885,0.191689793047376,0.00117135683792363,0.297998365208293,0.0011076650294067,0.00130139550638166,0.285600606578903,0.00137708847004997,1,0.00141534894361811
"CD160",0.865906674097789,NA,0.97032810248234,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"CADM",0.314329503560928,NA,NA,NA,NA,NA,NA,NA,0.33401571880749,NA,1,NA,NA
"CD80",0.165048514751818,0.554637818619023,0.0038623503059036,0.0232079529634722,0.181531193458138,1,0.0676441861909317,0.00203245795391445,0.20673411342055,0.00491939465118582,0.061484032030628,0.00224522507919865,0.00519839415615165
"LCK",0.985171509252084,0.979803179736102,0.367947126606257,0.00553984653470275,0.00645869202539808,0.935155235877394,0.00547292443195097,0.00171163164371905,1,0.00469670799125587,0.00282771305020764,0.00453484257406017,0.00596658079136054
"CSF3",0.00252065514645331,0.00257009726784538,0.00247084278843073,1,0.782895682473594,0.00237614568019266,0.756810829674776,0.00218399969332836,0.00261253284780432,0.00268173852268832,0.00278872983900493,0.00261920259037519,0.00275407585187505
"ANGPTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ICOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IGFBP",0.0338159348997721,0.0147625230455127,0.052782103127353,0.0270753738074702,0.112596282156861,NA,0.020123747490907,0.0974265696121424,0.0359991094082354,1,0.00645959664159349,0.272216633922301,0.0631021844312681
"CALCR",NA,NA,NA,1,0.697011736697874,NA,0.682709146942205,NA,NA,0.414365431237308,0.410227674450504,0.326130607511924,NA
"OX40",NA,NA,NA,NA,NA,0.350136490445088,NA,NA,NA,NA,NA,NA,1
"TWEAK",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"PVR",NA,NA,0.377496822265668,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"IGF",0.187837250453513,0.0441501596864234,0.26006436108988,0.131340082663384,0.281027283497643,0.0138151275462209,0.0945807896320911,0.082843607599343,0.176205647649608,1,0.0736494712008357,0.79532685345689,0.0900750109904098
"BAG",0.00744307650356608,0.0076387643209589,0.00728483783904093,0.997050065150359,0.905000385256104,0.00734639554212638,0.943961854353897,0.00443074690854775,0.00772273177579107,0.846355246883261,0.916846283394122,1,NA
"EPHA",0.00568086809117466,0.00582750182041159,0.00499892254859012,0.00449592012431056,0.0060660551909669,0.00596095395478393,0.00463021269821589,0.00227275669614278,0.00591397917907452,1,0.00295577093634964,0.0043221052231305,0.0039505633423829
"ADGRG",0.0131350387419002,0.0142650259800015,0.0143187669700238,0.067826683272202,0.04227029607306,0.0206586435002077,0.0363687654738465,0.0119894295407555,0.00877053007349504,1,0.0377974549824398,0.0120609159676181,0.0501513388448487
"LIFR",0.0041972474625889,0.244253029838931,0.00456233907645215,0.126744548918657,0.273002008377119,0.573606864142864,0.234819504190037,0.185860315662841,0.00322502153478538,1,0.0662854382177161,0.245992965335654,0.303959776742959
"OSM",NA,0.0234806960574864,NA,1,0.641769471076026,0.0554779783676721,0.025015375415837,0.0175030355409185,NA,0.629092449064323,0.0054918138053671,0.0231006071596989,0.0300464669931757
"KIT",0.00417478386236202,0.00493838001945606,0.00333583635043048,0.0044317350620765,0.00591184607545753,0.00624774301959646,0.00523757973248844,0.00252571088439189,0.00444840778629258,0.00773394767973633,0.00319769951047195,0.00498133245933498,1
"NRG",0.403674097233956,0.42693988494647,0.238263399060915,0.532257270248373,0.52727795281056,1,0.432719727101946,0.170168959543443,0.407836612030727,0.675100313862118,0.18054198364459,0.41878878957679,0.428256454346586
"DESMOSOME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPHB",0.00228395631912501,0.00268567222868822,0.00265912230702823,0.00270080071960391,0.00318381862505599,0.00300747308010397,0.00290108718314558,0.00196624072284669,0.00209594858301613,1,0.00287527120147176,0.00306082844035188,0.00345142032897522
"CD46",0.429492719106728,0.480267853146287,0.397528238359978,0.407955615821747,0.371098382617812,0.388381168216279,0.367840817677869,0.383674682644724,0.488257620799823,0.385982753193196,1,0.375752942253428,0.412743677744508
"CDH",0.964781332403803,0.00369450877596254,0.00322184036087727,0.00364217786552824,0.00420006320166806,0.00280834608573054,0.00355538159139776,0.00189368586121957,1,0.234898638722069,0.00380925985101069,0.00370444214632479,0.00270355099283712
"XCR",NA,NA,0.605453552072115,NA,NA,NA,NA,NA,0.27900890496041,NA,NA,NA,1
"ApoE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOTCH",0.00556912080796039,0.0055724336255271,0.00531950557088839,0.00535684381395714,0.00539512501861272,0.00511993059753522,0.00526423190044249,0.00482018997706305,0.00567617627562954,0.21615246826066,0.00489679203878221,0.00516783802912653,1
"SEMA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSAP",NA,NA,0.541868283093952,1,0.870315418660375,0.0553975331700563,0.857023792321512,0.542233316407672,0.221546974428373,0.053609273071906,0.849236910948662,0.89581029707799,0.349328668459022
"CD30",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEGI",0.912135891959381,0.299651731363861,1,0.444222508108722,0.440969655676901,0.390850347680842,0.403487480068304,0.403854091912279,0.991799308269443,0.157728929660246,0.442687565832552,0.165476971864745,0.587633917200926
"FASLG",0.816686465850912,0.666655374956935,1,0.284544704796126,0.348189103409719,0.815899167816381,0.265254934362127,0.110899770424784,0.908234967800803,0.261059715495828,0.208163414713104,0.133480573472851,0.235420438342027
"MPZ",0.128364499198,0.327861518678976,0.12572937822628,0.382516882549448,0.724973901902486,0.657437921960983,0.720621916827983,0.262206106256935,0.124774133154632,0.886706391577759,0.381979604072494,1,0.965200266304582
"L1CAM",0.605059421990707,0.620010347055476,0.593325212193691,0.831238073252268,1,0.568252077361457,0.831604231059784,0.520558824586867,0.629053499256142,0.777138362093842,0.793072806562437,0.629905850869655,0.804192860116206
"GP1BA",0.647495235245527,0.490444811976903,0.549830652712418,0.319443996057127,0.442252484928345,1,0.41284141965017,0.331520271981702,0.452265753663935,0.584432140057796,0.447199853808733,0.314978245368544,0.416390831032811
"SELL",NA,NA,NA,0.260222028127534,0.1764257591694,0.283219681251417,0.219676986791857,0.258245155255744,NA,NA,0.639086121549704,1,NA
"MSTN",0.566770558819905,0.45273444142199,0.688250589378054,0.46798619000667,1,0.0777172204444583,0.282639307495888,NA,0.80604282633097,0.343408987080965,0.161236267788501,0.825616151391814,0.080963388193377
"TRAIL",0.0171909739262513,0.0182823277042748,0.0115473088846344,1,0.906840856285725,0.046527955218542,0.818070979516305,0.00889424867125334,0.0278505564489436,0.908121239664654,0.0213891076395343,NA,NA
"CD23",0.00271588438070511,0.00285630785689747,0.00262740249529221,0.00451252723235168,0.00500620449155476,0.00314510820636266,0.00349678349168312,1,0.00284822886441288,0.00497007313540792,0.00212115288355485,0.00272225850729743,0.00421048172582858
"KLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ApoB",0.858627307753925,0.875555640978991,0.843468083642046,0.96526675865796,1,0.810546680366967,0.965762640968834,0.746393330808873,0.88851630090583,0.970543294897464,0.921941256914444,0.889769414097565,0.934872942979688
"THY1",0.102890684243922,0.104673161457531,0.0980187783580069,1,0.929860892891772,0.107518536496796,0.956700874531234,0.0815278168891704,0.106223522368016,0.872137302829356,0.930943999158124,0.851513330645037,0.0182374063459445
"RELN",0.00285433971419641,0.00343887696256107,0.030331235350013,0.108990067306373,0.111930180368584,0.0237122166540138,0.0308733568155414,0.00238157177640424,0.00203575314050145,1,0.00333682315786014,0.0403214423100403,0.0293687198807795
"NT",0.232819115721998,0.23032570834076,0.212707685259988,0.537458005232103,0.587346855731466,0.290691278595521,0.545196188351864,0.183085280424594,0.245482593161211,1,0.404926800049379,0.614529835217601,0.631352317092606
"CD48",0.608999114479937,1,0.412221735832473,0.841477683898236,0.721103381649377,0.455089908911139,0.7530138819467,0.792453930514872,0.603267616043848,NA,0.72541383061521,NA,0.212144344958021
"SEMA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"OCLN",0.451744220897436,0.674221649018633,0.443763232871637,0.965503556492718,1,0.218180770231725,0.965492524623721,NA,0.683901633291276,0.864372810263065,0.854003049241676,0.685340886710211,0.87015913913424
"HGF",0.576642544387417,0.603724685587209,0.282663344396559,0.785239397073703,0.921780155627916,0.597756138391806,0.579059156846175,NA,0.775717904186957,1,NA,0.140735994689387,0.311709762787491
"ACTIVIN",0.300380607203213,0.213166522223112,0.360405505851255,0.302096588899498,0.566015187139594,0.100806271744634,0.211918234758465,NA,0.361361906855674,1,0.163089082838864,0.651532931774962,0.131569396555335
"PDGF",0.568376024978329,0.606376530188794,0.267539919156937,0.545498500622498,1,0.784649131736377,0.803567369212521,NA,0.73739599033851,0.644991882297456,0.229409381475542,0.375541555841874,0.993438708129128
"BMP",0.0337764147718578,0.0290204669427486,0.0401441516567381,0.0344597779060972,0.0551944507411847,0.0169559021122949,0.0281964584536572,0.00530119153743832,0.0404194076529515,1,0.023434629162114,0.0618024571305989,0.0187655120647636
"EDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGF",0.0315012806330691,0.0339462712795091,0.0232591205072679,0.0329957334514919,0.0437430055871819,0.0434555417407412,0.0416196841045662,0.00802844636395982,0.0337964065414726,1,0.0142797128785053,0.0277282436385148,0.0815621411002551
"PRL",0.556365103318708,NA,0.392920618456717,0.77069273679558,0.99917415507246,NA,1,NA,0.6587288036226,0.296782108314339,0.900021943266613,0.951229090097606,0.49710173432901
"GH",0.577012175710683,NA,0.391085436035924,0.817624161505057,1,NA,0.991776078533973,NA,0.679695716530755,0.448937880467453,0.888702113656216,0.943910319893952,0.499077891545815
"WNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ApoA",0.000736483538115748,0.000995440721664533,0.000569065152648892,0.00130167925264634,0.00164971658304895,0.00110314127656963,0.00159005368184805,0.000627907016941892,0.00060110079931767,1,0.00126990366562337,0.00162319565707632,0.000604379335123493
"NGF",0.190552881853287,0.191318908807547,0.168245942842888,0.594910883970552,0.64148411875322,0.232222735236795,0.585476295811669,0.224654395624838,0.228569859489256,1,0.486490222976093,0.737928238617929,0.570489702647246
"CDH5",0.00653992601825271,0.00516344181594665,0.00425921597233456,0.0198049089547963,0.0199383011210034,0.0063544827505003,0.0174475640415811,0.00329132003412956,0.00676141643898037,1,0.0056490346337089,0.0157670454189509,0.0058962451777671
"PTPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"EPO",0.529159881765885,0.475840246233819,0.184454253713168,0.716141796554857,1,0.697479953624875,0.887279461719326,NA,0.792915267341016,0.9032477885254,0.319265991972967,0.482120001673967,0.847875675142135
"NPR2",0.585503411364355,NA,0.923250091457207,NA,1,NA,NA,NA,0.295613568331219,0.278708442831286,NA,0.453167646815285,NA
"GAP",0.535514132020363,0.765895282747489,0.377741951340035,0.976139020283063,1,0.297459670576803,0.963926517797467,NA,0.775699725346829,0.996253599789989,0.693796004394755,0.697238899792871,0.896906086452168
"IFN-I",NA,0.22433370209707,0.267028458927586,0.280082299362186,0.809956733390894,0.27572138696891,0.753482261184199,0.878283094481794,NA,0.25105626384052,0.736803347993534,1,0.296867340551496
"ANGPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"NCAM",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CD137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"RANKL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CNTN",0.000835799750933745,0.00075633976240788,0.000579495766511791,0.00226108753512588,0.00240402031068349,0.000587116826760147,0.00223960764576729,0.000186163410519485,0.00110505932677379,1,0.00198063035395929,0.000953219360859176,0.000612667049639846
"NEGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Netrin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"GDNF",0.229070288180242,0.264250525398575,0.214017254281734,0.560352979114308,0.626944460476653,0.362007371191089,0.537443671202551,0.114784026663412,0.272315817713205,1,0.262542101513513,0.685528946163023,0.796850607420685
