"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"OCLN",0.00679598179087855,0.0071260173068377,0.00678705058744924,0.00876914677987864,0.00881731533640887,0.00646532474878639,0.00843350885757401,0.00583979411498393,0.00699672105555479,1,0.00779592560803289,0.00703290261009184,0.00715444941369394
"HGF",0.0243123664176482,0.0269969589207414,0.020577103177349,0.0342358994931125,0.040379028136215,0.023711064607561,0.0279597009610667,0.0134663066933173,0.027918953915018,1,0.0133885468078291,0.0200838202952784,0.0253215655974678
"ACTIVIN",0.0578403767964544,0.0617264000086504,0.0728319464612408,0.153047625424971,1,0.0267461594006793,0.120553132853307,0.0422863392705227,0.0647691786291657,0.704589689104239,0.0927792214761493,0.135096719177673,0.0520946207201685
"PDGF",0.268234489211697,0.274346038366914,0.20452821877449,0.326889724170644,0.433292443968913,0.399712142092218,0.365377813509999,0.123763375308293,0.260943761469146,1,0.195529785979045,0.249957453730264,0.393686254158893
"BMP",0.136217072667774,0.14828720693449,0.183252507624448,0.335180897762346,1,0.0533543546619864,0.300914519909088,0.0975469910665773,0.157163318553235,0.535144105126587,0.249127737344476,0.483027251263722,0.114888493391928
"EDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"FGF",0.0186036373508513,0.0190987945316854,0.0144518832673969,0.0243973382663902,0.0301933613481604,0.0275493105244817,0.027956335859595,0.0068608391106273,0.0178105886440593,1,0.0114704251465604,0.017245385360088,0.0530766528977178
"PRL",0.0186223531296295,0.0158256168880937,0.0439760482204597,0.0616442896643345,0.0601200885312642,0.012758830249464,0.0657608095611456,0.0124485180149412,0.046782184910472,1,0.0541638096552385,0.0637717617948837,0.0476917754560179
"GH",0.0280561598894315,0.0246088135114087,0.0662553086932005,0.0952486629117591,0.0928382183430063,0.0183180344845161,0.0979964963769393,0.0175193088524558,0.0703145333424822,1,0.0810508555610967,0.0954287063884827,0.0721909687572822
"WNT",0.00462672089463792,0.00474049801100885,0.00450075642207314,0.00595830089645005,0.00505454761010295,0.00448007275469,0.00416810480949312,0.00393533357710803,0.00473284403267782,1,0.00275015480565854,0.00220676520489456,0.00461583819435565
"ApoA",0.00164305610957373,0.00194621614575569,0.00164080758994088,0.542761279954326,1,0.00157417085923665,0.00278675675114124,0.00144142571414338,0.00194197545590727,0.00228262074228299,0.0023481258204783,0.00196878627125707,0.218437996315371
"NGF",0.0717204790315702,0.0740128555758749,0.0739016003834422,0.219369912845581,0.272127573083864,0.079897996335541,0.260181936829917,0.103065741085635,0.0697764336171341,0.121702919458204,0.25127236610291,0.202854774499747,1
"CDH5",0.0752297778161002,0.0615497353600861,0.0497471317172593,0.590742575218924,0.610502652240751,0.0866968405509804,0.488782129120111,0.0376371008703908,0.0762337654640788,1,0.0689971380045269,0.204167808726933,0.276930758325162
