"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"ADGRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16010366705216,0.154189485004883,0.146494327796398,1
"SEMA3",0.0211991971293676,NA,NA,NA,NA,NA,NA,0.00107315261817558,NA,NA,NA,NA,0.0290251561743848,NA,NA,NA,0.0241205258600864,0.120849732136008,0.179897828835071,1
"SELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0598952650954974,1
"IL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341117780076416,0.0633881339707983,0.0718858360734865,NA,1,NA,NA
"IFN-II",0.399437085400862,0.605663422614695,0.362193070888941,0.656155919489236,0.393072734539606,0.563598795992379,0.673600811046884,0.587243884489176,NA,NA,1,NA,NA,NA,NA,NA,NA,0.201877955262395,NA,NA
"NCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95524645168972,0.819348928575548,1,0.179366189207843
"FGF",0.0263705957514071,0.0967058961896588,0.0506925416547216,0.078582676933519,0.0305842871720742,0.00490899945712703,0.0321178334550056,0.00271183858414745,0.050962132248815,9.57499744844288e-05,2.48072602529791e-05,1.81909834335716e-05,4.91542373930814e-05,0.0891104196461688,1.17172048733484e-05,1.65880142062268e-05,1,0.856050002660173,0.175330128075901,0.0388975469200578
"CADM",0.383687897375111,NA,NA,NA,NA,1,NA,0.281299980616967,NA,NA,NA,NA,NA,NA,NA,NA,0.195715937425096,0.20110859734273,NA,NA
"CD23",0.472019326284065,1,0.925969366526899,0.801605709446016,0.852605761980371,0.163938516052605,0.512416740480505,0.397788961624144,0.606678992482635,NA,NA,NA,0.578708875536451,NA,NA,0.221743162353815,NA,NA,NA,0.36939193383534
"PARs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.906567705854061,0.277841177999933,NA
"OSM",NA,0.46010008272114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"FLRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294071201034855,0.540355396072713,1,NA
"CDH5",NA,NA,NA,NA,NA,NA,NA,0.231309895371345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HSPG",NA,NA,NA,NA,NA,NA,NA,0.343807669652584,NA,NA,NA,NA,NA,NA,NA,NA,0.404456072958843,0.321500872422841,1,0.310300315575154
"PTPRM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151691783456287,NA,1
"NECTIN",0.000695477261457073,0.0608541873603362,0.000552494015984719,0.0543320308406063,0.00124821576518313,0.000163104533012979,0.0110927594170563,0.0630994041664448,0.00037505466184971,0.000287457259183983,0.000174023694179155,8.47138238784862e-05,1,0.979969216133824,0.38409903435054,0.438632227627633,0.0102375535888922,0.010535063876314,0.324519062569471,0.201662865484514
"ANGPT",0.34492557405129,0.428396453321522,0.408259496228775,0.381602091804483,0.394986021536313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511610354270046,0.718577588822783,0.48127329527677,1
"TNF",0.331995109317823,0.881470490705123,0.463065151808182,0.440930065333501,0.470678536412489,0.00473302706725713,0.350414971428575,0.00150041607996957,0.614877919310912,2.39421490754466e-08,0.00150374657430873,0.00141689752526161,0.940257384416458,0.958507678347267,0.696052148785573,1,0.00209277317532978,0.086168770723726,0.510945281304762,0.170658130719208
"NOTCH",0.340341412493035,1,0.84298410628496,0.981337526153239,0.896131496837821,0.782193822395558,0.310905883424726,NA,0.478600213221358,0.371423658966726,NA,0.266447828109663,0.170486261290435,NA,NA,NA,0.774057156385436,0.645598139041771,0.0924209147413777,0.433328400266738
"TENASCIN",0.778666085499008,0.85679960841203,0.707609902648732,0.170795829133558,0.507619157382677,NA,0.181602973247602,0.780387229674111,NA,NA,NA,NA,0.385903472773047,NA,NA,NA,0.806483534686934,0.750923941995772,1,0.600808408397184
"ESAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NRG",NA,NA,NA,NA,NA,NA,NA,0.340210188661883,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.638213967250541
"PDL2",NA,NA,NA,NA,NA,NA,0.131427663417418,NA,NA,NA,NA,0.221883398184109,1,0.83062935077288,NA,NA,NA,NA,NA,NA
"EPHA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.522746523500665,0.4140131549278,0.839552430603062,0.159022971516298
"SEMA7",NA,0.649102503181548,NA,NA,NA,NA,0.379844008326438,0.897858927919523,NA,NA,NA,0.359267705028996,NA,NA,NA,0.45955816136452,0.689288972267569,0.633014270816674,0.600470645349679,1
"SEMA6",0.0515442419089251,NA,NA,NA,NA,NA,NA,0.0109020820589225,NA,NA,NA,NA,0.067060462976601,NA,NA,NA,0.0578765695550483,0.115420244071568,0.745921694237124,1
"IGFBP",NA,0.404959466472558,NA,0.6977406192476,1,NA,NA,0.861434018033888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.836651684335217,NA,NA
"EGF",0.00409923923272481,0.00532865552325817,0.00412272551600655,0.00856112343001974,0.00384594890597792,0.000540324266959396,0.00169320002936021,0.00208946375677748,0.00445280137942346,1.67186849469881e-05,0.000917299419650306,0.00116984481026982,0.000181982750657463,0.000147012527505438,7.54139818125826e-05,1.39301254689607e-05,0.389649254958349,0.284220663301215,1,0.00100139059543349
"CD137",NA,0.134723218835853,0.1531963019832,NA,NA,NA,0.144677131692803,NA,NA,NA,NA,0.205775235671241,1,0.567935000294511,NA,0.174851085418072,NA,NA,NA,0.155394289737447
"PVR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999957038922736,1,0.468971154279577,0.537390043399261,NA,NA,NA,NA
"PROS",0.691823387156083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318988165914675,0.73331359011727,1,0.138668745085445
"KIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14087499155499,NA,1
"BMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648022747273561,0.79898531899476,1,NA
"CDH1",NA,NA,NA,NA,NA,0.292823112384113,NA,NA,NA,NA,NA,NA,0.419495427092161,NA,NA,1,NA,NA,NA,0.621351907083823
"VWF",NA,NA,NA,NA,NA,NA,NA,0.338051121328834,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.635987159537403
"UNC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.488382591232426,NA
"EPHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618299854426867,0.488519140881524,1,0.158484683781086
"ncWNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399136470728301,1
"IGF",0.131945655346826,0.582548754456732,0.258299141532988,0.21277091151426,0.207118231418481,0.00232490006984643,0.00759178724837662,0.564814745695065,0.797735036620014,5.35812434111772e-07,0.221418612374496,0.323775860762647,1,0.000393806915286907,0.000107712384847248,4.3354395428713e-07,0.207980007123485,0.269909095095503,0.0706606792738398,0.205091432706296
"Netrin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.66133613226706,NA,NA,NA,0.398693904135355,0.192908110685641,NA
"IL6",NA,0.619347014105296,0.510071104674374,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.508673613977363,NA,NA
"MPZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558889800956427,NA,1
"PDGF",0.013020682745931,0.0169221296305954,0.0130900302217266,0.0126060486987265,0.0122139974641415,0.000938322340572916,0.00293889581327608,0.0036280322582469,0.0141416930803184,2.84014142328873e-05,0.00159171901871117,0.00202465497413656,0.000310714092091024,0.000249220746724206,0.000126134787359236,2.2315695081383e-05,0.275447397412503,0.0251715882662869,1,0.000744867729404195
"XCR",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441874522558199,1,NA,NA,NA,NA,NA,0.361527542386602
"FASLG",0.00583853757613207,0.00774790338393061,0.00679998302559534,0.00752503133622982,0.00781318398713814,0.003483994368529,0.00650931722269032,0.00502354729309082,0.0103203188244768,2.8080798371381e-08,1,0.00652938316375955,0.000184084222656314,0.000199469093262477,0.640190522160875,2.27211231641136e-08,0.00554185845399345,0.00488858731852503,0.212083133224147,0.00640519923060618
"CD34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AGRN",NA,NA,NA,NA,NA,NA,NA,0.329767541087692,NA,NA,NA,NA,NA,NA,NA,NA,0.389424199464032,0.307939185582435,1,0.328771186555009
"APRIL",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD96",0.0110521565008395,0.964512685356981,0.0087799976173233,0.861385546289352,0.0198355024161701,0.00259203154280967,0.17619975411261,1,0.0059602540835,0.00456820051211261,0.00276555580477912,0.00134626338088286,0.00394361319074358,0.00422654242161258,0.0012863461425021,0.00122780714554198,0.162621591348355,0.167345298710592,0.19870423987928,0.310161084307438
"CHEMERIN",NA,0.977143878514825,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDH",0.00216953862646584,0.00301298105232168,0.00246901651150508,0.00205861788813491,0.00200075894489643,0.000266045267368317,0.00140762521293043,0.330949014631618,0.00230451384771343,NA,0.00044641799975231,0.000564975242909083,7.42343895752212e-05,5.22915709483355e-05,4.88343323879936e-06,NA,0.00228563396769954,0.00201665469043319,1,0.00046507234222452
"WNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.967394383278252
"CLDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
