"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"PD-L1",0.272294445296975,0.855137956767618,0.866322603566858,0.289286658868443,1,0.309042663785916,0.904893737758757,0.205252286141401,0.417849187611012,0.341389871385584,NA,0.225337084269099,0.293544990570253,NA,0.298615991965628,0.284679129791882,NA,NA,NA,NA
"CD39",0.642555920101157,0.674816782730479,0.245783596806621,0.651904395693859,0.713003046689564,0.267948683012495,0.282545844524585,NA,1,NA,NA,NA,0.213332605129169,0.283719962563235,NA,NA,NA,NA,NA,0.278696389541546
"CLEC",NA,0.523619167061963,NA,0.173914260996164,0.672624196145116,0.391367530374987,0.591408326550748,1,NA,NA,NA,NA,0.121304790041719,NA,0.409270669506904,NA,0.462893935735126,0.336861645504739,NA,0.709823762845558
"NKG2D",NA,NA,NA,NA,NA,0.101718517716496,0.0711899568534837,0.0376003280535369,NA,NA,0.338265893223067,1,0.322880701398989,0.113371400757193,0.856676148030934,0.803643604907981,NA,0.17735062598054,NA,NA
"ADGRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425996895445515,0.47126721964339,0.652638244134149,1
"CD52",0.895196971428679,0.816127203129881,0.829371395286936,0.879349612124674,0.893857462148901,0.930206322296641,0.901382810365745,0.672843689112594,1,0.834175052986438,0.598013940195418,0.715691027475231,0.83453286594332,0.871474742632214,0.860268647063264,0.851627026836201,NA,NA,NA,NA
"ANNEXIN",0.152234062192181,0.50679665072973,0.243020524978026,0.56454402032995,0.242219951649645,0.243797533976646,0.161797559812504,NA,0.918260615453503,NA,NA,NA,NA,NA,NA,NA,1,0.923134408131166,0.630035767674879,0.693700283256776
"PECAM2",NA,NA,NA,NA,NA,NA,NA,0.69539277087412,NA,0.245882300672789,0.226824095837785,0.228872439531687,0.171642682703837,NA,0.124625758806888,NA,NA,NA,NA,1
"ADGRL",NA,NA,NA,NA,NA,NA,NA,0.215543330064273,NA,NA,NA,NA,NA,NA,NA,NA,0.476087804203076,0.97081567090338,1,NA
"SEMA3",0.0546762558443048,NA,NA,NA,NA,NA,NA,0.00665686643949824,NA,NA,NA,NA,0.0634423554246303,NA,NA,NA,0.796532231562805,0.823051331486928,1,0.70168504377234
"SELL",NA,NA,NA,NA,0.208379284873928,NA,NA,1,0.36918695813507,0.336833800024411,0.752499457278827,NA,NA,NA,0.701884540028878,0.294035158404155,NA,NA,NA,NA
"IL1",0.526977643236321,1,0.346742115725079,0.519224276850374,0.964284325087073,0.514787404127671,0.541382708977392,NA,0.462818269860574,NA,NA,NA,NA,NA,NA,NA,0.0370363054557933,NA,0.115742785115772,NA
"IFN-II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358210841128059,NA,1,NA,NA,NA,NA
"NCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"FGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56986092443019,1,0.571757005820696,NA
"CADM",0.378562867986954,NA,NA,NA,NA,1,NA,0.276949096770366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD23",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"OSM",0.216056711106483,1,0.253808515959273,0.644979380325053,0.708398332638488,NA,0.199020440950398,NA,0.704627592257681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294071201034855,0.540355396072713,1,NA
"CDH5",NA,NA,NA,NA,NA,NA,NA,0.231309895371345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HSPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182586450292634,0.452989981867783,0.539804301346033,1
"PTPRM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151691783456287,NA,1
"NECTIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345551723024241,0.355231140338971,1,0.587267033247628
"ANGPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047998167569209,NA,NA,1
"TNF",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOTCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"TENASCIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"ESAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NRG",NA,1,NA,0.960566986277313,0.888934087372277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDL2",NA,NA,NA,NA,NA,NA,0.356417645134923,NA,NA,NA,NA,0.316966981324926,1,0.7405650671854,NA,NA,NA,NA,NA,NA
"EPHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775840656053308,0.557990547344482,1,0.134308646240854
"SEMA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SEMA6",0.0377786920254223,NA,NA,NA,NA,NA,NA,0.00837767420697366,NA,NA,NA,NA,0.0491903008390205,NA,NA,NA,0.0425261181839703,0.0848066804619915,0.271963192534071,1
"IGFBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159559150052062,1
"KLK",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.154556168100797,0.287196583923741,0.270806884690213,NA,0.386569594809546,NA,NA,NA,NA,0.306334551796621
"EGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677225265234936,NA,1
"CD137",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PVR",0.011054297336726,0.964519381386915,0.00878170224161335,0.861408907716717,0.0198393104454994,0.00259253792771394,0.176228179014006,1,0.00596141455451661,0.00456909119521234,0.00276609599564418,0.00134652671873379,0.00394438257823876,0.00422736677326026,0.00128659777526824,0.00122804734110864,0.162648258658764,0.167372585666965,0.198735418672433,0.310202976467896
"PROS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728255805194602,1,NA
"KIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206670969765236,NA,1
"BMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CDH1",0.0042336166003551,0.00580891618376919,0.00480275989436468,0.0040588346297688,0.00394476787319402,0.000540488692355177,0.00278762108904478,1,0.00448279845459417,1.23898093845165e-07,0.00088868071938292,0.00111890127607883,0.000150813372957315,0.000106234802923037,2.49138026078833e-05,1.00250135852433e-07,0.00444607637283798,0.00397610580086115,0.034970633126251,0.000925815027250287
"VWF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"UNC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268932528408611,0.509561463938077,1,NA
"EPHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191243509805946,0.137590883250377,1,0.476818721061927
"ncWNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"IGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Netrin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959807406170545,1,NA,NA
"IL6",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MPZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558889800956427,NA,1
"PDGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420007926977088,1,0.0444938736776464,0.864227268921691
"XCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749846547749822,1,NA,NA,NA,NA
"CD200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40700763290816,0.470623425036614,NA,NA,NA,NA,NA,1
"FASLG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95218828727785,NA,1,NA,NA,NA,NA
"CD34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048731261916692,1
"AGRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"APRIL",NA,0.851102370798219,NA,1,0.985604581555295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"CHEMERIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"CDH",0.00216953862646584,0.00301298105232168,0.00246901651150508,0.00205861788813491,0.00200075894489643,0.000266045267368317,0.00140762521293043,0.330949014631618,0.00230451384771343,NA,0.00044641799975231,0.000564975242909083,7.42343895752212e-05,5.22915709483355e-05,4.88343323879936e-06,NA,0.00228563396769954,0.00201665469043319,1,0.00046507234222452
"WNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0997529987077072,1,NA
"CLDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
